m,lambda,wz,wtr,dt,mu,eps,Nx,Nt,nL,beta,dim,step,Dens (Re),Dens (Im),KE (Re),KE (Im),Lz (Re),Lz (Im),PhiSq (Re),PhiSq (Im),S (Re),S (Im),S_del (Re),S_del (Im),S_int (Re),S_int (Im),S_tau (Re),S_tau (Im),S_trap (Re),S_trap (Im),S_w (Re),S_w (Im),Vint (Re),Vint (Im),Vtr (Re),Vtr (Im)
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,0,0.003181395,0.0003169,-0.000130052,5.58E-05,-0.004098848,0.003022655,-7.13E-06,0.000865583,-0.050159582,0.041423099,-0.046971061,0.040874416,0,0,-0.003188521,0.000548683,0,0,0,0,0.00311888,0.00311888,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,10,0.002672775,0.002334402,0.04263686,-0.000309919,0.073905533,-0.055140104,0.872764357,-0.000376089,35.37785592,-0.113437948,34.50776434,-0.110727457,0,0,0.870091581,-0.002710491,0,0,0,0,0.694864924,0.694864924,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,20,-0.007380593,-0.003014953,0.045967507,-1.61E-05,-0.070008791,0.026852881,0.953642272,-0.004268215,38.49570611,-0.142245663,37.53468324,-0.140992401,0,0,0.961022865,-0.001253262,0,0,0,0,1.488402577,1.488402577,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,30,0.009576517,0.000499191,0.045770355,1.29E-05,-0.201486201,-0.055877471,0.962300867,0.002656255,38.5426115,0.046375116,37.58988715,0.044218052,0,0,0.95272435,0.002157063,0,0,0,0,1.623060305,1.623060305,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,40,-0.001962956,0.007321536,0.046096378,-0.000146719,-0.185450024,-0.025671611,0.953551069,0.008875829,38.47786228,0.13532964,37.52234826,0.133775347,0,0,0.955514025,0.001554293,0,0,0,0,1.580560305,1.580560305,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,50,-0.008018658,0.014980032,0.045590575,0.000741238,-0.080764445,-0.056971627,0.95206758,0.015516388,38.34953921,0.672717957,37.38945297,0.672181601,0,0,0.960086238,0.000536356,0,0,0,0,1.745349824,1.745349824,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,60,0.007078997,0.017771994,0.04545879,0.000836346,-0.009161452,-0.043224667,0.963544495,0.017648139,38.47280937,0.74497388,37.51634387,0.745097735,0,0,0.956465498,-0.000123855,0,0,0,0,1.783527487,1.783527487,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,70,-0.005679434,0.020718098,0.045324634,0.00121276,-0.017807477,0.004755685,0.958628111,0.020344077,38.29768904,0.928133446,37.3333815,0.928507467,0,0,0.964307544,-0.000374021,0,0,0,0,1.881930261,1.881930261,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,80,0.006939382,0.013107314,0.045885606,0.001385807,-0.160892987,0.041498353,0.969429491,0.017368306,38.65231352,0.883573561,37.68982341,0.87931257,0,0,0.962490109,0.004260991,0,0,0,0,1.995982935,1.995982935,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,90,0.022595192,-0.004831225,0.047207612,0.000809232,-0.053281534,0.056078507,0.992745712,0.000519294,39.6447339,0.336524267,38.67458338,0.331173748,0,0,0.970150519,0.005350519,0,0,0,0,1.761627168,1.761627168,0,0
